Aleksandr Sokurov	107762	69	
Stephen Sommers	7775	3	
Sion Sono	67075	49	
Paolo Sorrentino	56194	119	
Chad Stahelski	40644	3	
Burr Steers	58552	8	
Robert Stevenson	5834	10	
Scott Stewart	116357	0	
Robert Stromberg	1032536	46	
John Sturges	14520	19	
Charles Sturridge	77104	14	
Philipp St�lzl	113500	8	
Seijun Suzuki	82461	11	
Jan Svankmajer	83784	50	
Piotr Szulkin 	83263	7	
Malgorzata Szumowska	932317	40	
Yoichi Takabayashi	1152096	3	
Isao Takahata	628	29	
Y�jir� Takita	76936	20	
B�la Tarr	85637	28	
Genndy Tartakovsky	185438	20	
Bertrand Tavernier	20556	80	
Hiroshi Teshigahara	96801	10	
Francis Thompson	1128329	3	
Richard Thorpe	70862	5	
George Tillman Jr.	66121	9	
Johnnie To	25236	81	
Giuseppe Tornatore	65314	89	
Guillermo del Toro	10828	95	
Jacques Tourneur	10146	0	
Dan Trachtenberg	568322	3	
Pete Travis	43141	10	
Dalton Trumbo	11993	12	
Douglas Trumbull	12112	26	
Ming-liang Tsai	71174	108	
Shinya Tsukamoto	58608	42	
Tom Tykwer	1071	76	
Morten Tyldum	77965	47	
Edgar G. Ulmer	5030	0	
Ron Underwood	33485	5	
Jean-Marc Vall�e	69371	44	
W.S. Van Dyke	32427	5	
Felix Van Groeningen	239672	45	
Agn�s Varda	6817	62	
Matthew Vaughn	957	21	
Francis Veber	38507	8	
Henri Verneuil	34580	7	
Dziga Vertov	95111	1	
Charles Vidor	32134	5	
King Vidor	29962	19	
Ren� Vienet	1283314	1	
Jean Vigo	142865	1	
Carlos Vilardebo	1187007	3	
Denis Villeneuve	137427	121	
Thomas Vinterberg	4453	82	
Luchino Visconti	15127	48	
Andy Wachowski	9339	30	
Wachowski Brothers	9340	31	
Andrzej Wajda	2801	84	
Raoul Walsh	8823	7	
Alex Van Warmerdam	27875	70	
Michal Waszynski	1036829	0	
Apichatpong Weerasethakul	69759	63	
William A. Wellman	14643	14	
Joss Whedon	12891	57	
Robert Wiene	2991	0	
Fred M. Wilcox	12300	0	
Kurt Wimmer	13927	0	
