"32,345,887,313,922"	21879	"12,16,10751"	50321	5.5
"13,276,968,204"	33183	"12,16,35,10751"	11619	6
"696,813,135,839,828"	36588	"12,10751,14"	266647	5.9
"4,216,055,892,815,230"	18898	"16,12,10751"	82703	6.7
"8,783,114,287"	5231	"12,18,10752"	652	6.9
"1,440,973,996,730"	12080	"1,610,751"	80321	6.4
"108,824,587,517"	7256	"12,28,53"	36669	5.8
"41,091,555,361,240,400"	116805	"28,14,35"	43074	5.3
"62,879,880"	865	"28,53,878,12"	95	6.4
"962,628,882,176"	5174	"28,12,35,878"	608	6
"4,173,117,015,538"	24	"12,28,16"	2310	5.5
"44,837,085,117,419"	142312	"28,12,16,35,10751"	140300	6.7
"1,110,817,604,500"	7087	"28,53,12"	56292	6.8
"6,206,496,427,447"	151007	"14,16,10751"	81188	7.1
"20,649,397,447"	15002	35	7552	5.9
"76,765,003,899"	9181	"18,28,10752,36"	616	7.3
"1,241,389,433,192"	578	"12,18,28"	147441	5.6
"17,306,620,641,749"	15344	"878,28,12"	13475	7.4
"22,195,293,205"	7623	"14,28"	557	6.8
"1,727,641,091,449"	69797	"14,28,12,16,35,10751"	82702	7.6
"10,173,471,279,517,200"	21085	14	205584	5.3
"616,410,860,134"	18878	28	10048	4.9
"17,832,828,950,463"	15217	"289,648,878"	13183	7
"451,720,472,461"	7187	"28,12,35,80,53"	944	6.3
"8,783,616,116,431"	1614	"18,28,878"	1927	5.3
"889,955,197,618,918"	54507	"12,28,878,53"	72559	5.4
"1,029,795,518,324"	52609	"28,12,35,18,9648"	7364	5.7
"55,636,217,027,447"	21692	"12,28,16,14,878,53"	2114	5.9
"1,331,217,616,828"	4945	"28,12,878"	1771	6.6
"517,180,231,957"	10781	"12,28,53"	36643	6
"616,219,655,934"	2690	12	8619	6.9
"112,883,791,784,214"	15557	"12,14,18,10749"	50620	6.1
"109,772,712,157"	20629	"16,35,10751"	65759	5.8
"3,129,819,882"	18865	"878,28,12"	1724	6.1
"40,900,142,542,015,500"	488	"12,10751,14"	267935	6
"9,349,161,932,524"	223	"37,18,12,53"	281957	7.3
"1,324,210,859,454"	94075	"1,610,751"	77950	6.1
"851,372,652,848"	1704	"16,35,10751,37,12"	44896	6.6
"188,641,209,712,098"	18863	"10751,16,12,35"	270946	6.5
"11,064,189,212,041"	25598	"28,18,9648,53"	2503	7.3
"70,851,448,311,701"	57741	"12,16,10751,35"	9502	6.9
"22,226,190,343,392"	59026	"878,28,12"	102899	7
"279,729,606,672,129"	10943	"12,28,878"	101299	7.4
"537,467,773,131,519"	52870	"14,35,16,878,10751"	228161	6.8
"502,501,500"	488	"12,53,878"	74	6.2
"31,384,288,878,029"	865	"12,28,35,53,80"	8961	6.3
"3,136,582,253,131"	12098	"28,12,16,10751,14"	417859	6.4
"23,626,117,015,294"	13015	"28,9648,53"	27576	6.2
"109,909,346,161"	6431	"18,12"	86834	5.6
"47,887,841,333"	488	"12,16,9648"	17578	6.7
"109,901,098,910,980"	11218	"12,14,10751"	673	7.7
"3,344,969,682,227"	6201	18	6972	6.3
"28,881,207,242,598"	11614	"878,28,12"	82700	5
"19,811,553,161,962"	65855	"1,610,751"	10567	6.2
"221,581,739,917,838"	17825	"12,35,14,10751"	181533	6.1
"2,365,956,323,287"	18864	"16,28,35,10751,878"	38055	6.7
"109,891,099,010,980"	10965	"12,14,10751"	671	7.5
"4,724,108,591,229"	57270	"14,28,35,80"	49524	5.4
"114,85,118"	1704	"12,14,28"	22	7.5
"960,662,797,272,129"	10943	"878,12,53"	131631	6.6
"1327,31,2405"	6159	"539,648"	591	6.5
"44,735,410,871,813"	5714	"16,12,35,10751"	172385	6.3
"696,813,272,387"	9032	"12,28,878,53"	36658	6.8
"12,835,816,722,123"	58189	"28,53,80"	51497	7.1
"3,223,964,215,440"	956	"12,28,80,9648"	58574	7
"5,469,389,665,731"	18865	"12,14,28"	18823	5.6
"1,076,844,301,100"	10491	"28,12,878"	861	7.1
"31,311,989,819,899"	1090	"12,14,28"	1911	6.4
"329,381,917,604"	19242	"28,53"	49040	6
"146,111,005,577"	5572	"28,80,14"	415	4.2
"206,204,804,175"	6159	"10751,35,14"	8871	6.2
"153,369,030,500"	11401	"12,28,53"	955	5.9
"2,882,132,401,461"	5231	18	2133	6.2
"168,285,673,165,524"	20400	"12,14,28,53"	1979	5.4
"93,316,076,793,935,500"	1614	"12,18,28"	87827	7.2
"817,029,638,210"	16837	"53,28,14,27"	1250	5.2
"694,114,069,597"	36425	"28,12,35"	9471	5.2
"8,772,217,288,529"	578	"878,12,9648"	70981	6.3
"5,214,141,916,935"	18898	"10751,12,16,35"	10996	5.4
"1,892,821,911,038"	82194	"878,28,18,53"	68724	6.4
"1,283,590,301,372"	28239	"28,878"	2789	6.3
"2232,92404,64"	52576	"28,878"	97020	5.7
"28,657,465,936,886"	9339	"2,810,751,878"	7459	5.7
"22,226,368,887"	3388	"35,18,10749"	42888	4.9
"5,001,336,941"	366	"28,35"	37834	5.9
"19,218,182,500"	86270	"28,878,12,9648"	75612	6.4
"524,306,117,244"	1	"878,12,28"	1895	7.1
"172,445,243,061"	1	"12,28,878"	1894	6.4
"6,968,106,969,195"	366	"28,878,12,14"	76170	6.3
"30,615,243,896"	1	"12,28,878"	1893	6.3
"10,859,546,932,963"	66193	"12,16,35,10751,14"	49519	6.8
"169,272,489,124,893"	20674	"14,12,35,10751"	2395	5
"33527,2963,53"	11401	"18,28,36,10752"	12100	5.8
"5,081,745,686,885"	1454884	"28,12,18"	290595	6
"8,861,953,721,200"	66739	"878,28,12,14,35"	98566	5.8
"146,122,818,277"	11218	"878,53,18"	49047	7.3
"517,271,358,727"	21370	"28,12,53"	9619	5.7
"195,377,611,021,200"	1101410	"14,28,12,35"	308531	5.8
