Moussa Touré	2012
Siegfried	1998
Roberto Minervini	2015,2015
Ryszard Bugajski	1990
Stanley Donen	1957
Teinosuke Kinugasa	1959,1959,1953,1954
Anibal Massaini Neto	2005
Fabio Grassadonia	2013,2013,2013
Miklós Jancsó	1966,1972,1972,1975,1976,1979
Vadim Glowna	1981
Carlos Velo	1967
Charles Vidor	1946
Jacques Tati	1958,1958,1953
Szabolcs Hajdu	2006
Alejandro Fernández Almendras	2009,2009
Juan Antonio Bayona	2007
Fábri Zoltán	1959,1956,1961
Jan Švankmajer	1965,1974,1989,1965
Anjelica Huston	1996,1999
Djinn Carrenard	2014
Gilles Jacob	1987
Glauber Rocha	1977,1964,1967,1967,1969,1969,1977
Roman Polanski	2002,1976,2013
Philippe Garrel	1984,2017,2008
Tawfik Abu Wael	2004,2004
Im Kwon-taek	2002,2002,2000
Sylvain Madigan	1981
Yury Bykov	2013
Jeanne Labrune	1992
Miguel Gomes	2008
Bill Duke	1991
Irving Pichel	1949
Lana Gogoberidze	1984
Luis Puenzo	1985,1985
Rodrigo García	2000
Vlatko Gilić	1977
Bob Hoskins	1986
Chris Menges	1988,1988,1988
Patrick Grandperret	2006
Philippe Rousselot	1997
Reinaldo Marcus Green	2014
Brandon Cronenberg	2012,2012
Olivier Assayas	2014,2004,2002,2000,2016,2016
Percy Adlon	1989
Rie Rasmussen	2004
Stephen Quay	1986
Jacques Baratier	1958,1958
Robert Amram	1971
Guðmundur Arnar Guðmundsson	2013,2013
Bent Hamer	2008,1995,2005
Josef von Báky	1949
Raymond De Felitta	1995
Arliss Howard	2001
Stephan Komandarev	2017
Daniel Myrick	1999,1999,1999
Derek Cianfrance	2010,2010
Emmanuel Carrère	2005
José Ramón Larraz	1974
Mathieu Amalric	2010,2010,2017,2014,2003,2017,2010
Yared Zeleke	2015,2015
Jacques Audiard	1996,2015,2009,2009,1994,2012,1996
Jean Eustache	1973,1973,1973
José Bohr	1954
Kenneth Branagh	1993
Costa-Gavras	1982,1969,1969,1975,1975
Patrice Leconte	1996,1989
Ariane Mnouchkine	1978
Yaron Shani	2009,2009,2009
Byoung-Gon Moon	2011,2013
Hamilton Luske	1946,1953
Marian Handwerker	1974
Martin Scorsese	1976,1986,1986,1983,1975
Alan Bridges	1973,1982
Cristi Puiu	2010,2005,2016,2001
Julien Temple	1987
Krzysztof Zanussi	1971,1980,1980,1980,1978,1978
Mong-Hong Chung	2008,2008
Niki Lindroth Von Bahr	2017
Ross McElwee	2003
Dennis Hopper	1969,1980,1969
Georgina Willis	2003,2003
Katrin Gebbe	2013,2013
Louis Daquin	1958,1946
Pavel Hobl	1961
Ulrich Schamoni	1966
Ágnes Kocsis	2010,2006,2010
Louis Malle	1978,1956,1969,1978,1971
Walerian Borowczyk	1975
Emmanuel Bourdieu	2006,2006,2006
Samson Samsonov	1963,1963
Ang Lee	2009,1997
Erik Matti	2013
Ivan Vesselinov	1972
Fisher Stevens	2016
Karl Markovics	2011,2011,2011
Sandra Kogut	2007,2007
Apichatpong Weerasethakul	2004,2007,2015,2010,2002,2004
Gaspar Noé	1998,1991,2002,2009,2012,2015,1998
Jack Lemmon	1982,1979
Joseph L. Mankiewicz	1951,1949,1951
Margot Benacerraf	1959
Mike van Diem	1997
Sergio Castellitto	2004,2017
Ted Kotcheff	1971,1985
Irving Rapper	1946
Spike Lee	2002,1999,1991,1986,1986,1989,1991
Tsai Ming-Liang	2009,1998,2001,1998
Wolfgang Staudte	1957,1961
Cesc Gay	2000
Marie Amachoukeli	2014,2014,2009,2014,2014
Peter Bogdanovich	1985
Naomi Kawase	2014,2017,2017,2015,2011,2009,2007,2007,2003,1997
Cher	1985
Ghassan Salhab	2002
Yervant Gianikian	2004
Curtis Bernhardt	1947
Kadri Kõusaar	2007,2007
Francesca Archibugi	1993
Francisco Vargas	2006
Johan Jacobsen	1946
Federico Veiroj	2008,2008
Fernando Meirelles	2008
King Hu	1975,1975
Luigi Zampa	1973
Michel Drach	1974,1970
Nicole Kassell	2004,2004
Rachid Bouchareb	1991,1991,2006,2006,2010
Adrián Caetano	2001,2006
Idrissa Ouedraogo	1989,1989,1990,1990,1997
James Franco	2013
Michael Dinner	1983
Robert Siodmak	1954
Zako Heskiya	1965
Abdellatif Ben Ammar	1970
Gastón Margolin	2011
Abdellatif Kechiche	2013,2013,2013
Dean Stockwell	1959,1962
Dominique Delouche	1979
Louis Garrel	2015,2015
Vanessa Redgrave	1966,1969,2017,2017
André Novais Oliveira	2015,2013
Barthélémy Bompard	1990,1990
Jan Troell	1977
Grímur Hákonarson	2015,2005
Jean-François Stévenin	2002
Tony Gatlif	2004,1993,2004
Alberto Lattuada	1957,1946,1947,1952
Csaba Varga	1986
Daniel Borgman	2009,2010,2010
Souleymane Cissé	1987,1995,1987,2015,1987
Urszula Antoniak	2011
William Wyler	1952,1965,1957
Asif Kapadia	2015,2015,1998
Henri Verneuil	1964
Éric Rohmer	1976,1976,1969
Andrzej Wajda	1979,1978,1957,1981,1957,1981,1979,1966,1969,1970
Alberto Vázquez	2016
Edo Bertoglio	2000,2000
Kon Ichikawa	1960,1960,1964,1961,1961
Sebastián Lelio	2009
Céline Sciamma	2007,2014,2007
Emmanuel Gras	2017,2017,2017
Preston Sturges	1951
Robert M. Young	1978,1978
Wendy Tilby	1999
Zou Peng	2011
Mouly Surya	2017
Ruth Mader	2001,2003
Gudrun Parker	1946
João Nicolau	2013
Tristan Aurouet	2003
Claire Burger	2014,2014,2014,2009,2008,2014
Sylvie Verheyde	2012
Kostas Manoussakis	1965
Don Hertzfeldt	1999
Robert Ellis Miller	1970
Shiro Toyoda	1958
Topaz Adizes	2011
Michael Spiccia	2012
Mohammed Lakhdar-Hamina	1986,1982,1975,1967,1967
Ahmed Badrakhan	1952
Evald Schorm	1969
Nicole Vedres	1947
Nino Manfredi	1971,1971
Wayne Blair	2012
Arne Sucksdorff	1965,1952,1954,1954,1954,1958
