Keenen Ivory Wayans	1992
Keenen Ivory Wayans	1991
Keenen Ivory Wayans	1990
Keenen Ivory Wayans	1990
Morton Lewis	2017
Morton Lewis	2016
Morton Lewis	2011
Morton Lewis	2002
Morton Lewis	2001
Morton Lewis	1999
Rick Rosenthal	2016
Rick Rosenthal	2015
Rick Rosenthal	2015
Peter Berg	2011
Peter Berg	2007
Peter Berg	2017
Gregory Nava	2004
Tina Hirsch	2005
Tina Hirsch	2000
Jack Hofsiss	1980
John Newland	1953
Dick Clement	1999
Dick Clement	1998
Dick Clement	1997
Dick Clement	1997
Dick Clement	1996
Dick Clement	1994
Bernd Eichinger	2002
Fax Bahr	2001
Fax Bahr	1992
Fax Bahr	1992
Fax Bahr	1991
Peter Tewksbury	1961
Peter Tewksbury	1959
Peter Tewksbury	1958
Michael Patrick King	2006
Michael Patrick King	2004
Michael Patrick King	2003
Michael Patrick King	2002
Michael Patrick King	2002
Michael Patrick King	2001
Michael Patrick King	2001
Michael Patrick King	2000
Michael Patrick King	1999
Michael Patrick King	1993
Richard Benjamin	1968
Adam Ravetch	2013
Adam Ravetch	2011
Adam Ravetch	2005
Ben Affleck	2016
Ben Affleck	2005
Ben Affleck	2004
Ben Affleck	2002
Ben Affleck	1995
Ben Affleck	2011
Alexander Singer	1972
Gene Kelly	1967
Gene Kelly	1966
Gene Kelly	1959
Anthony Quinn	1988
David Lowell Rich	1978
Ethan Coen	2017
Ethan Coen	2016
Gil Junger	1997
Judd Apatow	2017
Judd Apatow	2013
Judd Apatow	2012
Judd Apatow	1998
Judd Apatow	1997
Judd Apatow	1996
Judd Apatow	1994
Judd Apatow	1993
Edward Norton	2010
Michael Ritchie	1993
Buzz Kulik	1984
Buzz Kulik	1976
Buzz Kulik	1972
Buzz Kulik	1970
Buzz Kulik	1962
Daniel Petrie	1993
Daniel Petrie	1992
Daniel Petrie	1992
Daniel Petrie	1989
Daniel Petrie	1986
Daniel Petrie	1977
Daniel Petrie	1976
Daniel Petrie	1972
Stuart Margolin	1987
Stuart Margolin	1980
Stuart Margolin	1979
Stuart Margolin	1999
Arthur Allan Seidelman	1984
Arthur Allan Seidelman	1982
Arthur Allan Seidelman	1982
Arthur Allan Seidelman	1981
Arthur Allan Seidelman	1980
Jonathan Kaplan	2001
Jonathan Kaplan	2000
Jonathan Kaplan	1999
Nick Hurran	2014
Jennifer Aniston	2009
Jennifer Aniston	2004
Jennifer Aniston	2003
Jennifer Aniston	2002
Jennifer Aniston	2001
Jennifer Aniston	2000
Peter Ustinov	1985
Peter Ustinov	1982
Peter Ustinov	1970
Peter Ustinov	1967
Peter Ustinov	1958
Richard Shepard	2007
Frederick de Cordova	1992
Frederick de Cordova	1991
Frederick de Cordova	1987
Frederick de Cordova	1986
Frederick de Cordova	1985
Frederick de Cordova	1984
Frederick de Cordova	1983
Frederick de Cordova	1981
Frederick de Cordova	1980
Frederick de Cordova	1979
Frederick de Cordova	1978
Frederick de Cordova	1977
Frederick de Cordova	1976
Frederick de Cordova	1974
Frederick de Cordova	1972
Frederick de Cordova	1971
Frederick de Cordova	1963
Ron Lagomarsino	1992
Ron Lagomarsino	1985
Jeff Probst	2011
Jeff Probst	2010
Jeff Probst	2009
Jeff Probst	2008
Jeff Probst	2006
Jeff Probst	2005
Jeff Probst	2004
Jeff Probst	2003
Jeff Probst	2002
Jeff Probst	2001
Robert Dornhelm	2001
David Anspaugh	1983
David Anspaugh	1982
Richard Schickel	1987
Richard Schickel	1977
Clark Johnson	2002
Melvin Van Peebles	1987
Gene Wilder	2003
Wallace Wolodarsky	1992
Wallace Wolodarsky	1991
Wallace Wolodarsky	1990
Wallace Wolodarsky	1990
Wallace Wolodarsky	1989
Wallace Wolodarsky	1988
Robert Michael Lewis	1975
Kevin Reynolds	2012
Lou Antonio	1995
Lou Antonio	1979
Lou Antonio	1978
Gary Nelson	1978
Carl Reiner	2004
Carl Reiner	2000
Carl Reiner	1995
Carl Reiner	1967
Carl Reiner	1966
Carl Reiner	1966
Carl Reiner	1965
Carl Reiner	1965
Carl Reiner	1964
Carl Reiner	1963
Carl Reiner	1962
Carl Reiner	1958
Carl Reiner	1957
Carl Reiner	1956
Carl Reiner	1954
Kevin Spacey	2017
Kevin Spacey	2016
Kevin Spacey	2015
Kevin Spacey	2014
Kevin Spacey	2013
Kevin Spacey	2008
Steve Binder	1997
Steve Binder	1986
Steve Binder	1980
Steve Binder	1978
Steve Binder	1977
Steve Binder	1977
Steve Binder	1991
Steve Binder	1988
Frank Marshall	2015
Frank Marshall	2010
Jake Kasdan	2012
Mimi Leder	2006
Mimi Leder	1996
Mimi Leder	1996
Mimi Leder	1995
Mimi Leder	1995
Mimi Leder	1992
Mimi Leder	1991
Mimi Leder	1990
Peter Horton	2007
Peter Horton	2006
Peter Horton	2005
Michael O'Herlihy	1979
Duwayne Dunham	1990
Steven Hilliard Stern	2004
Greg Beeman	2007
Jay Sandrich	1987
Jay Sandrich	1986
Jay Sandrich	1985
Jay Sandrich	1979
Jay Sandrich	1978
Jay Sandrich	1977
Jay Sandrich	1974
